ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
409857197,2026-07-16T19:59:08,2026-07-16T20:05:40,buy,0.01,0.01,XAUUSDm,3979.42,3976.423,3976.423,,,,-3,,,sl
409851262,2026-07-16T19:38:46,2026-07-16T19:55:53,buy,0.01,0.01,XAUUSDm,3972.56,3978.676,3977.606,,,,6.12,,,user
409850618,2026-07-16T19:37:05,2026-07-16T19:38:13,buy,0.01,0.01,XAUUSDm,3971.455,3969.451,3969.451,,,,-2.01,,,sl
409805776,2026-07-16T17:28:40,2026-07-16T17:32:59,buy,0.01,0.01,XAUUSDm,3986.944,3984.343,3984.343,,,,-2.6,,,sl
409800223,2026-07-16T17:17:47,2026-07-16T17:24:05,buy,0.01,0.01,XAUUSDm,3987.291,3986.633,3986.633,,,,-0.66,,,sl
409788868,2026-07-16T16:56:02,2026-07-16T17:13:04,sell,0.01,0.01,XAUUSDm,3995.593,3987.549,3987.549,,,,8.04,,,sl
409787101,2026-07-16T16:53:50,2026-07-16T16:55:11,sell,0.01,0.01,XAUUSDm,3994.648,3995.858,3995.858,,,,-1.21,,,sl
409781963,2026-07-16T16:45:50,2026-07-16T16:50:23,sell,0.01,0.01,XAUUSDm,3990.356,3993.319,3993.319,3982.026,,,-2.96,,,sl
409779550,2026-07-16T16:42:05,2026-07-16T16:44:50,sell,0.01,0.01,XAUUSDm,3988.241,3992.095,3992.095,,,,-3.86,,,sl
409717159,2026-07-16T15:35:42,2026-07-16T15:38:05,sell,0.01,0.01,XAUUSDm,4014.612,4014.585,4014.585,,,,0.02,,,sl
409710308,2026-07-16T15:28:51,2026-07-16T15:33:34,sell,0.01,0.01,XAUUSDm,4012.485,4012.48,4012.48,3973.779,,,0.01,,,sl
409691627,2026-07-16T15:14:24,2026-07-16T15:17:31,sell,0.01,0.01,XAUUSDm,3990.954,3995.937,3995.937,3973.679,,,-4.99,,,sl
409654478,2026-07-16T14:31:59,2026-07-16T14:33:42,sell,0.01,0.01,XAUUSDm,3998.587,4000.862,4000.862,3973.655,,,-2.27,,,sl
409290291,2026-07-16T08:07:18,2026-07-16T08:11:17,sell,0.01,0.01,XAUUSDm,4030.305,4027.701,4033.082,,,,2.61,,,user
409284146,2026-07-16T08:00:53,2026-07-16T08:02:04,sell,0.01,0.01,XAUUSDm,4030.161,4032.546,4032.546,4022.691,,,-2.39,,,sl
408610332,2026-07-15T12:30:08,2026-07-15T12:34:18,buy,0.04,0.04,XAUUSDm,4049.093,4053.389,4042.886,,,,17.19,,,user
408398160,2026-07-15T06:48:07,2026-07-15T06:53:23,sell,0.01,0.01,XAUUSDm,4030.247,4033.617,4033.617,4021.227,,,-3.37,,,sl
408367497,2026-07-15T06:06:52,2026-07-15T06:26:11,sell,0.01,0.01,XAUUSDm,4028.834,4027.7239999999997,4029.422,4021.129,,,1.11,,,user
